"utterance","object","slide_number_in_experiment","response","workerid","rt","Answer.time_in_minutes","speaker_cond"
"bot_check","Jessica",1,"Jessica",0,0,5.37341666666667,"typ1"
"ball","ball_plastic_green",3,"[0.75, 0.64]",0,10190,5.37341666666667,"typ1"
"pitcher","pitcher_plastic_original",4,"[0.78, 0.98]",0,6001,5.37341666666667,"typ1"
"chair","chair_plastic_purple",5,"[0.75, 0.62]",0,23193,5.37341666666667,"typ1"
"spoon","spoon_metal_original",6,"[1, 0.99]",0,6316,5.37341666666667,"typ1"
"bottle","bottle_plastic_original",7,"[0.98, 0.98]",0,5660,5.37341666666667,"typ1"
"box","box_wood_green",8,"[0.99, 0.55]",0,15412,5.37341666666667,"typ1"
"bag","bag_plastic_original",9,"[1, 0.98]",0,19330,5.37341666666667,"typ1"
"boot","boot_leather_original",10,"[0.99, 0.9]",0,3489,5.37341666666667,"typ1"
"bowl","bowl_metal_blue",11,"[0.98, 0.98]",0,5660,5.37341666666667,"typ1"
"spoon","spoon_plastic_green",12,"[0.99, 0.6]",0,13928,5.37341666666667,"typ1"
"box","box_cardboard_original",13,"[0.99, 0.99]",0,5078,5.37341666666667,"typ1"
"jacket","jacket_denim_original",14,"[0.99, 0.9]",0,9264,5.37341666666667,"typ1"
"pitcher","pitcher_metal_blue",15,"[1, 0.78]",0,5673,5.37341666666667,"typ1"
"table","table_wood_green",16,"[0.99, 0.46]",0,8187,5.37341666666667,"typ1"
"cup","cup_plastic_original",17,"[1, 0.77]",0,16095,5.37341666666667,"typ1"
"table","table_metal_original",18,"[0.99, 0.65]",0,6207,5.37341666666667,"typ1"
"plate","plate_plastic_green",19,"[0.97, 0.36]",0,10977,5.37341666666667,"typ1"
"plate","plate_paper_green",20,"[0.99, 0.52]",0,8085,5.37341666666667,"typ1"
"boot","boot_rubber_green",21,"[1, 0.53]",0,5064,5.37341666666667,"typ1"
"jacket","jacket_leather_green",22,"[1, 0.54]",0,10575,5.37341666666667,"typ1"
"chair","chair_wood_original",23,"[0.98, 0.97]",0,7424,5.37341666666667,"typ1"
"ball","ball_rubber_blue",24,"[1, 0.64]",0,7128,5.37341666666667,"typ1"
"cup","cup_metal_blue",25,"[0.98, 0.73]",0,7040,5.37341666666667,"typ1"
"bag","bag_paper_blue",26,"[0.99, 0.54]",0,4926,5.37341666666667,"typ1"
"spoon","spoon_wood_blue",27,"[1, 0.91]",0,3344,5.37341666666667,"typ1"
"pitcher","pitcher_glass_green",28,"[1, 0.51]",0,4673,5.37341666666667,"typ1"
"bottle","bottle_glass_blue",29,"[1, 0.8]",0,6050,5.37341666666667,"typ1"
"bowl","bowl_glass_green",30,"[0.98, 0.65]",0,36245,5.37341666666667,"typ1"
"chair","chair_metal_green",31,"[0.99, 0.51]",0,25863,5.37341666666667,"typ1"
"bot_check","Barbara",1,"Barbara",1,0,4.17366666666667,"typ1"
"jacket","jacket_denim_original",3,"[0.97, 0.95]",1,6998,4.17366666666667,"typ1"
"bag","bag_paper_blue",4,"[0.77, 0.02]",1,13247,4.17366666666667,"typ1"
"plate","plate_plastic_green",5,"[0.97, 0.03]",1,7417,4.17366666666667,"typ1"
"chair","chair_plastic_purple",6,"[0.97, 0.02]",1,5433,4.17366666666667,"typ1"
"cup","cup_plastic_original",7,"[0.98, 0.98]",1,4573,4.17366666666667,"typ1"
"box","box_wood_green",8,"[0.98, 0.02]",1,7364,4.17366666666667,"typ1"
"plate","plate_paper_green",9,"[0.97, 0.03]",1,4486,4.17366666666667,"typ1"
"table","table_wood_green",10,"[0.98, 0.03]",1,4331,4.17366666666667,"typ1"
"chair","chair_wood_original",11,"[0.99, 0.99]",1,6323,4.17366666666667,"typ1"
"bottle","bottle_plastic_original",12,"[0.97, 0.96]",1,4346,4.17366666666667,"typ1"
"pitcher","pitcher_plastic_original",13,"[0.98, 0.98]",1,4777,4.17366666666667,"typ1"
"table","table_metal_original",14,"[0.98, 0.98]",1,5287,4.17366666666667,"typ1"
"bowl","bowl_metal_blue",15,"[0.98, 0.02]",1,8066,4.17366666666667,"typ1"
"pitcher","pitcher_glass_green",16,"[0.99, 0.08]",1,6372,4.17366666666667,"typ1"
"jacket","jacket_leather_green",17,"[0.99, 0.09]",1,6332,4.17366666666667,"typ1"
"boot","boot_leather_original",18,"[0.99, 0.98]",1,3930,4.17366666666667,"typ1"
"pitcher","pitcher_metal_blue",19,"[0.97, 0.03]",1,6155,4.17366666666667,"typ1"
"bottle","bottle_glass_blue",20,"[0.99, 0.39]",1,11515,4.17366666666667,"typ1"
"spoon","spoon_metal_original",21,"[0.98, 0.99]",1,5359,4.17366666666667,"typ1"
"box","box_cardboard_original",22,"[0.99, 0.97]",1,3756,4.17366666666667,"typ1"
"spoon","spoon_wood_blue",23,"[0.98, 0.94]",1,5718,4.17366666666667,"typ1"
"boot","boot_rubber_green",24,"[0.98, 0.02]",1,4213,4.17366666666667,"typ1"
"cup","cup_metal_blue",25,"[0.97, 0.3]",1,7914,4.17366666666667,"typ1"
"ball","ball_rubber_blue",26,"[0.96, 0.56]",1,11539,4.17366666666667,"typ1"
"ball","ball_plastic_green",27,"[0.99, 0.37]",1,4966,4.17366666666667,"typ1"
"bag","bag_plastic_original",28,"[0.98, 0.97]",1,4739,4.17366666666667,"typ1"
"spoon","spoon_plastic_green",29,"[0.97, 0.17]",1,4281,4.17366666666667,"typ1"
"chair","chair_metal_green",30,"[0.97, 0.02]",1,4455,4.17366666666667,"typ1"
"bowl","bowl_glass_green",31,"[0.97, 0.05]",1,4070,4.17366666666667,"typ1"
"bot_check","Mary",1,"Mary",2,0,2.4893,"typ1"
"plate","plate_paper_green",3,"[0.82, 0.17]",2,7970,2.4893,"typ1"
"boot","boot_leather_original",4,"[0.78, 0.84]",2,3993,2.4893,"typ1"
"cup","cup_metal_blue",5,"[0.43, 0.35]",2,8659,2.4893,"typ1"
"box","box_wood_green",6,"[0.7, 0]",2,8768,2.4893,"typ1"
"jacket","jacket_leather_green",7,"[0.67, 0.35]",2,3514,2.4893,"typ1"
"bag","bag_paper_blue",8,"[0.7, 0.69]",2,2708,2.4893,"typ1"
"spoon","spoon_plastic_green",9,"[0.8, 0.8]",2,3146,2.4893,"typ1"
"spoon","spoon_metal_original",10,"[1, 1]",2,2952,2.4893,"typ1"
"plate","plate_plastic_green",11,"[0.67, 0.16]",2,4722,2.4893,"typ1"
"bottle","bottle_glass_blue",12,"[0.99, 0.81]",2,3978,2.4893,"typ1"
"table","table_wood_green",13,"[0.8, 0.49]",2,3688,2.4893,"typ1"
"pitcher","pitcher_metal_blue",14,"[0.79, 0.29]",2,2642,2.4893,"typ1"
"pitcher","pitcher_glass_green",15,"[0.87, 0.31]",2,2076,2.4893,"typ1"
"ball","ball_plastic_green",16,"[0.81, 0.98]",2,2322,2.4893,"typ1"
"jacket","jacket_denim_original",17,"[1, 1]",2,2922,2.4893,"typ1"
"chair","chair_metal_green",18,"[0.73, 0.27]",2,6984,2.4893,"typ1"
"cup","cup_plastic_original",19,"[1, 1]",2,2592,2.4893,"typ1"
"bowl","bowl_metal_blue",20,"[1, 0]",2,3306,2.4893,"typ1"
"pitcher","pitcher_plastic_original",21,"[1, 1]",2,6404,2.4893,"typ1"
"chair","chair_plastic_purple",22,"[0.57, 0]",2,7144,2.4893,"typ1"
"box","box_cardboard_original",23,"[1, 1]",2,2714,2.4893,"typ1"
"spoon","spoon_wood_blue",24,"[1, 1]",2,3140,2.4893,"typ1"
"bag","bag_plastic_original",25,"[1, 1]",2,3102,2.4893,"typ1"
"bowl","bowl_glass_green",26,"[1, 0.19]",2,2508,2.4893,"typ1"
"bottle","bottle_plastic_original",27,"[1, 1]",2,2743,2.4893,"typ1"
"chair","chair_wood_original",28,"[1, 1]",2,3065,2.4893,"typ1"
"table","table_metal_original",29,"[1, 1]",2,2724,2.4893,"typ1"
"ball","ball_rubber_blue",30,"[1, 0.55]",2,2622,2.4893,"typ1"
"boot","boot_rubber_green",31,"[0.37, 0.22]",2,5670,2.4893,"typ1"
"bot_check","Sarah",1,"Sarah",3,0,1.42905,"typ2"
"table","table_wood_green",3,"[1]",3,4061,1.42905,"typ2"
"chair","chair_metal_green",4,"[1]",3,2080,1.42905,"typ2"
"pitcher","pitcher_plastic_original",5,"[1]",3,3624,1.42905,"typ2"
"chair","chair_plastic_purple",6,"[1]",3,2136,1.42905,"typ2"
"box","box_wood_green",7,"[0.52]",3,3703,1.42905,"typ2"
"boot","boot_rubber_green",8,"[0.55]",3,2416,1.42905,"typ2"
"jacket","jacket_leather_green",9,"[0.5]",3,2376,1.42905,"typ2"
"jacket","jacket_denim_original",10,"[0.64]",3,2455,1.42905,"typ2"
"bottle","bottle_plastic_original",11,"[0.84]",3,2345,1.42905,"typ2"
"spoon","spoon_plastic_green",12,"[1]",3,1967,1.42905,"typ2"
"pitcher","pitcher_glass_green",13,"[0.63]",3,2858,1.42905,"typ2"
"ball","ball_plastic_green",14,"[0.52]",3,1775,1.42905,"typ2"
"bag","bag_paper_blue",15,"[0.83]",3,2784,1.42905,"typ2"
"spoon","spoon_wood_blue",16,"[0.52]",3,5144,1.42905,"typ2"
"boot","boot_leather_original",17,"[1]",3,1720,1.42905,"typ2"
"spoon","spoon_metal_original",18,"[1]",3,1816,1.42905,"typ2"
"cup","cup_metal_blue",19,"[0.52]",3,3168,1.42905,"typ2"
"plate","plate_paper_green",20,"[1]",3,1808,1.42905,"typ2"
"bag","bag_plastic_original",21,"[1]",3,1879,1.42905,"typ2"
"box","box_cardboard_original",22,"[1]",3,2464,1.42905,"typ2"
"pitcher","pitcher_metal_blue",23,"[0.6]",3,2696,1.42905,"typ2"
"bowl","bowl_glass_green",24,"[1]",3,1992,1.42905,"typ2"
"chair","chair_wood_original",25,"[1]",3,2144,1.42905,"typ2"
"bowl","bowl_metal_blue",26,"[1]",3,1776,1.42905,"typ2"
"bottle","bottle_glass_blue",27,"[0.9]",3,2088,1.42905,"typ2"
"ball","ball_rubber_blue",28,"[0.56]",3,1551,1.42905,"typ2"
"table","table_metal_original",29,"[0.84]",3,1768,1.42905,"typ2"
"plate","plate_plastic_green",30,"[1]",3,1616,1.42905,"typ2"
"cup","cup_plastic_original",31,"[1]",3,1512,1.42905,"typ2"
"bot_check","Linda",1,"Linda",4,0,4.65331666666667,"typ2"
"bowl","bowl_metal_blue",3,"[0.86]",4,8905,4.65331666666667,"typ2"
"spoon","spoon_metal_original",4,"[0.94]",4,4694,4.65331666666667,"typ2"
"jacket","jacket_leather_green",5,"[0.44]",4,5608,4.65331666666667,"typ2"
"chair","chair_plastic_purple",6,"[0.63]",4,6065,4.65331666666667,"typ2"
"bottle","bottle_glass_blue",7,"[0.59]",4,3551,4.65331666666667,"typ2"
"bowl","bowl_glass_green",8,"[0.87]",4,2928,4.65331666666667,"typ2"
"pitcher","pitcher_metal_blue",9,"[0.71]",4,3809,4.65331666666667,"typ2"
"pitcher","pitcher_glass_green",10,"[0.71]",4,2271,4.65331666666667,"typ2"
"plate","plate_paper_green",11,"[0.77]",4,5112,4.65331666666667,"typ2"
"table","table_wood_green",12,"[0.41]",4,6248,4.65331666666667,"typ2"
"chair","chair_wood_original",13,"[0.9]",4,3201,4.65331666666667,"typ2"
"box","box_wood_green",14,"[0.55]",4,5120,4.65331666666667,"typ2"
"cup","cup_metal_blue",15,"[0.68]",4,2630,4.65331666666667,"typ2"
"plate","plate_plastic_green",16,"[0.64]",4,2606,4.65331666666667,"typ2"
"pitcher","pitcher_plastic_original",17,"[0.88]",4,3840,4.65331666666667,"typ2"
"ball","ball_plastic_green",18,"[0.79]",4,2928,4.65331666666667,"typ2"
"bag","bag_paper_blue",19,"[0.79]",4,3424,4.65331666666667,"typ2"
"bottle","bottle_plastic_original",20,"[0.79]",4,3312,4.65331666666667,"typ2"
"boot","boot_rubber_green",21,"[0.43]",4,3424,4.65331666666667,"typ2"
"ball","ball_rubber_blue",22,"[0.77]",4,8336,4.65331666666667,"typ2"
"table","table_metal_original",23,"[0.73]",4,33206,4.65331666666667,"typ2"
"chair","chair_metal_green",24,"[0.51]",4,4158,4.65331666666667,"typ2"
"cup","cup_plastic_original",25,"[0.74]",4,2495,4.65331666666667,"typ2"
"box","box_cardboard_original",26,"[0.87]",4,3257,4.65331666666667,"typ2"
"jacket","jacket_denim_original",27,"[0.84]",4,4119,4.65331666666667,"typ2"
"spoon","spoon_plastic_green",28,"[0.71]",4,2433,4.65331666666667,"typ2"
"bag","bag_plastic_original",29,"[0.79]",4,2752,4.65331666666667,"typ2"
"spoon","spoon_wood_blue",30,"[0.76]",4,3695,4.65331666666667,"typ2"
"boot","boot_leather_original",31,"[0.9]",4,3232,4.65331666666667,"typ2"
"bot_check","Susan",1,"Susan",5,0,2.09218333333333,"typ2"
"box","box_cardboard_original",3,"[0.99]",5,3530,2.09218333333333,"typ2"
"jacket","jacket_denim_original",4,"[0.75]",5,5052,2.09218333333333,"typ2"
"pitcher","pitcher_plastic_original",5,"[0.98]",5,3857,2.09218333333333,"typ2"
"plate","plate_paper_green",6,"[0.64]",5,5548,2.09218333333333,"typ2"
"box","box_wood_green",7,"[0.36]",5,5543,2.09218333333333,"typ2"
"bag","bag_plastic_original",8,"[0.65]",5,2766,2.09218333333333,"typ2"
"chair","chair_metal_green",9,"[0.71]",5,4477,2.09218333333333,"typ2"
"bowl","bowl_glass_green",10,"[0.7]",5,4006,2.09218333333333,"typ2"
"bottle","bottle_glass_blue",11,"[0.43]",5,4526,2.09218333333333,"typ2"
"ball","ball_plastic_green",12,"[0.89]",5,3141,2.09218333333333,"typ2"
"spoon","spoon_wood_blue",13,"[0.23]",5,4070,2.09218333333333,"typ2"
"pitcher","pitcher_metal_blue",14,"[0.88]",5,3072,2.09218333333333,"typ2"
"bottle","bottle_plastic_original",15,"[0.91]",5,3589,2.09218333333333,"typ2"
"table","table_wood_green",16,"[0.93]",5,3486,2.09218333333333,"typ2"
"table","table_metal_original",17,"[0.7]",5,4000,2.09218333333333,"typ2"
"jacket","jacket_leather_green",18,"[0.23]",5,4078,2.09218333333333,"typ2"
"chair","chair_plastic_purple",19,"[0.89]",5,3182,2.09218333333333,"typ2"
"cup","cup_metal_blue",20,"[0.51]",5,4955,2.09218333333333,"typ2"
"bag","bag_paper_blue",21,"[0.6]",5,3598,2.09218333333333,"typ2"
"spoon","spoon_plastic_green",22,"[0.92]",5,2619,2.09218333333333,"typ2"
"ball","ball_rubber_blue",23,"[0.94]",5,2648,2.09218333333333,"typ2"
"bowl","bowl_metal_blue",24,"[0.74]",5,3522,2.09218333333333,"typ2"
"boot","boot_leather_original",25,"[0.7]",5,3916,2.09218333333333,"typ2"
"pitcher","pitcher_glass_green",26,"[0.91]",5,3134,2.09218333333333,"typ2"
"boot","boot_rubber_green",27,"[0.49]",5,4037,2.09218333333333,"typ2"
"chair","chair_wood_original",28,"[0.94]",5,3370,2.09218333333333,"typ2"
"plate","plate_plastic_green",29,"[0.69]",5,3916,2.09218333333333,"typ2"
"spoon","spoon_metal_original",30,"[1]",5,2829,2.09218333333333,"typ2"
"cup","cup_plastic_original",31,"[0.79]",5,3428,2.09218333333333,"typ2"
