"totalLength","workerid","role","comments","nativeEnglish","thinksHuman","gameID","ratePartner","speaker_cond"
282889,0,"speaker","","yes","yes","0512-8","liked","batch1"
370678,1,"listener","no","yes","yes","3231-a","liked","batch1"
431055,2,"speaker","","yes","yes","9304-4","liked","batch1"
557185,3,"speaker","","no","yes","7754-6","liked","batch1"
281825,4,"speaker","i have none","yes","yes","2401-4","loved","batch1"
746262,5,"listener","its nice to do","yes","yes","0359-3","liked","batch1"
104514,6,"listener","no comments","yes","no","9484-b","loved","batch1"
750641,7,"speaker","I don't think that my partner read the instructions.  They kept requesting location numbers.  I explained to them just the like instructions said that it wouldn't help because our locations for the targeted image was different. But they didn't seem to fully understand and requested location numbers more than once.","yes","yes","3968-2","not much","batch1"
444925,8,"listener","It was pretty straightforward and simple","yes","yes","3845-b","okay","batch1"
311269,9,"speaker","","yes","yes","3260-8","liked","batch1"
321106,10,"listener","I'm only on round 18.","yes","yes","6964-b","liked","batch1"
631822,11,"listener","","yes","no","6896-c","liked","batch1"
631230,12,"listener","","yes","yes","1507-0","okay","batch1"
880134,13,"listener","lovely experiment and looking forward to more of it","yes","yes","7004-7","loved","batch1"
388379,14,"speaker","","yes","yes","2679-5","loved","batch1"
526026,15,"speaker","","yes","yes","3451-9","loved","batch1"
347845,16,"speaker","Thank you for the opportunity to participate!","yes","yes","5949-7","loved","batch1"
1290332,17,"speaker","No","yes","yes","2537-f","loved","batch1"
966642,18,"listener","fun","yes","yes","5270-b","liked","batch1"
491527,19,"listener","thanks","yes","yes","5178-c","liked","batch1"
471632,20,"speaker","","yes","yes","3954-5","loved","batch1"
531348,21,"speaker","Its really fun filled expriment","yes","yes","2808-d","loved","batch1"
360558,22,"speaker","","yes","yes","1629-c","liked","batch1"
746137,23,"speaker","","yes","yes","8573-e","liked","batch1"
511996,24,"speaker","","yes","yes","7078-d","liked","batch1"
565680,25,"listener","interesting","yes","yes","3968-2","okay","batch1"
547288,26,"listener","none","yes","yes","2537-f","loved","batch1"
378939,27,"listener","i really enjoyed","yes","yes","0856-5","loved","batch1"
276200,28,"speaker","","yes","yes","8411-d","loved","batch1"
279712,29,"listener","This was a fascinating and enjoyable experiment.","yes","yes","8411-d","loved","batch1"
240808,30,"listener","Fun Hit!!!","yes","yes","3045-2","loved","batch1"
499859,31,"listener","I don't know what happened, but I got to this page only after 3 rounds - I don't know if my partner quit early or there was an error in the experiment or what... I'm hesitant to submit the HIT (don't want a reject). Other than that, I enjoyed the experiment and found it interesting/fun. Thanks for the opportunity to participate. Have a nice day!","yes","yes","0541-f","okay","batch1"
582254,32,"speaker","good","yes","yes","7475-6","loved","batch1"
745163,33,"speaker","","yes","yes","7732-1","okay","batch1"
1294129,34,"speaker","None","yes","yes","5813-a","loved","batch1"
500849,35,"speaker","No comments","yes","yes","8638-a","loved","batch1"
403752,36,"speaker","","yes","yes","3045-2","loved","batch1"
290671,37,"speaker","","yes","yes","7576-4","okay","batch1"
331223,38,"speaker","None","yes","no","5755-4","liked","batch1"
183519,39,"speaker","I enjoyed a lot","yes","yes","0541-f","loved","batch1"
386023,40,"listener","","yes","no","4376-9","liked","batch1"
389490,41,"listener","No","yes","no","5735-e","liked","batch1"
512769,42,"listener","","yes","yes","3451-9","loved","batch1"
464590,43,"listener","n/a","yes","yes","7078-d","loved","batch1"
473313,44,"listener","","yes","no","8638-a","liked","batch1"
434457,45,"listener","Excellent partner and hit, thanks, do more fun stuff like this!","yes","yes","7754-6","loved","batch1"
303221,46,"listener","good","yes","no","7576-4","okay","batch1"
303619,47,"speaker","It was fun. It went really well.","yes","no","9533-3","loved","batch1"
344467,48,"speaker","Very fun, thank you for letting me participate.","yes","yes","5780-7","liked","batch1"
528244,49,"listener","Nice study","yes","no","1157-c","okay","batch1"
152062,50,"speaker","I'm a little confused. I thought there was going to be 32 rounds but I only made it through 4. That might be on purpose though for the study.","yes","yes","9484-b","liked","batch1"
663233,51,"speaker","nil","yes","yes","6896-c","loved","batch1"
833938,52,"speaker","I enjoyed this ALOT! please invite me for the next one.","yes","yes","7004-7","loved","batch1"
1160607,53,"speaker","The one boot and waiters group, there was no difference between the boots.","yes","yes","9418-8","liked","batch1"
396030,54,"speaker","","yes","yes","3231-a","loved","batch1"
1122291,55,"speaker","Good","yes","yes","5270-b","liked","batch1"
308822,56,"listener","N/A","yes","yes","5755-4","loved","batch1"
288561,57,"listener","","yes","no","3260-8","liked","batch1"
617298,58,"speaker","That was a fun (and challenging) HIT!
","yes","yes","2053-a","liked","batch1"
102696,59,"speaker","I never was paired with a partner unfortunately. I can redo the hit if you need me to. ","yes","no","9116-a","not much","batch1"
560088,60,"listener","","yes","yes","6736-0","liked","batch1"
412645,61,"listener","good","yes","yes","5617-b","loved","batch1"
280676,62,"listener","","yes","yes","8573-e","loved","batch1"
302295,63,"listener","","yes","yes","9304-4","liked","batch1"
230892,64,"listener","","yes","yes","9533-3","liked","batch1"
418594,65,"speaker","Very interesting.","yes","yes","6964-b","loved","batch1"
335069,66,"speaker","no more like that","yes","yes","7722-f","loved","batch1"
657371,67,"speaker","Nice Survey","yes","yes","1507-0","loved","batch1"
569175,68,"listener","Like to participate another task","yes","no","6704-2","loved","batch1"
710512,69,"speaker","I thought my partner had left at one point and I wondered if you allowed for that.","yes","no","6704-2","not much","batch1"
681612,70,"listener","","yes","yes","9418-8","loved","batch1"
553293,71,"speaker","No","yes","yes","3845-b","okay","batch1"
270155,72,"listener","","yes","yes","6832-2","liked","batch1"
507137,73,"speaker","Nope. ","yes","yes","2874-c","liked","batch1"
227555,74,"listener","","yes","yes","2401-4","liked","batch1"
448210,75,"listener","","yes","yes","3954-5","liked","batch1"
641019,76,"listener","","yes","yes","0896-6","liked","batch1"
551035,77,"listener","My partner did not have a good grasp of English at all, making them extremely difficult to understand.  ","yes","no","7475-6","not much","batch1"
337143,78,"listener","","yes","yes","2679-5","loved","batch1"
342517,79,"listener","It just goes to show how efficient team work is","yes","no","7732-1","loved","batch1"
666753,80,"speaker","low compensation for the time","yes","yes","3232-f","okay","batch1"
427515,81,"speaker","","yes","yes","0856-5","liked","batch1"
467116,82,"speaker","thank you","yes","yes","5639-3","loved","batch1"
284795,83,"speaker","","yes","yes","6832-2","loved","batch1"
368413,84,"listener","no","yes","yes","6915-5","loved","batch1"
317496,85,"listener","","yes","yes","5780-7","loved","batch1"
724642,86,"speaker","","yes","yes","1157-c","not much","batch1"
610591,87,"speaker","I don't know why it's stopped at 15/32. Hope it's not a glitch. Have a great day! :)","yes","yes","5617-b","liked","batch1"
499165,88,"speaker","","yes","yes","5735-e","loved","batch1"
868899,89,"listener","","yes","yes","5813-a","okay","batch1"
279580,90,"listener","none. but interesting. thanks!","yes","yes","0512-8","loved","batch1"
396876,91,"listener","","yes","yes","2874-c","liked","batch1"
581923,92,"listener","excellent","yes","yes","2053-a","loved","batch1"
729797,93,"speaker","","yes","yes","0896-6","okay","batch1"
327654,94,"listener","Nice","yes","yes","1629-c","loved","batch1"
474481,95,"speaker","","yes","yes","7214-7","okay","batch1"
357896,96,"listener","Fun! Thank you =)","yes","yes","7214-7","loved","batch1"
536025,97,"speaker","I'm sure we were being measured somehow, but I failed to see the challenge in what I was describing.","yes","yes","4376-9","liked","batch1"
682109,98,"speaker","interesting experiment","yes","no","8631-d","okay","batch1"
246981,19,"listener","no","yes","yes","5949-7","liked","batch1"
427888,99,"listener","nope","yes","yes","3232-f","liked","batch2"
