"workerid","response","rt","object","Answer.time_in_minutes","utterance","slide_number_in_experiment","speaker_cond"
0,"Jennifer",0,"Jennifer",1.01633333333333,"bot_check",1,"list1"
0,"['copper', 'green']",9464,"spoon_metal_green",1.01633333333333,"spoon",3,"list1"
0,"['metal', 'blue']",13628,"table_metal_blue",1.01633333333333,"table",4,"list1"
0,"['leather', 'blue']",4053,"boot_leather_blue",1.01633333333333,"boot",5,"list1"
0,"['metal', 'blue']",7569,"bowl_metal_blue",1.01633333333333,"bowl",6,"list1"
0,"['paper', 'blue']",5078,"plate_paper_blue",1.01633333333333,"plate",7,"list1"
0,"['plastic', 'green']",5505,"bottle_plastic_green",1.01633333333333,"bottle",8,"list1"
1,"Jessica",0,"Jessica",0.811133333333333,"bot_check",1,"list1"
1,"['spoon', 'green']",6593,"spoon_metal_green",0.811133333333333,"spoon",3,"list1"
1,"['aluminum', 'blue']",9143,"bowl_metal_blue",0.811133333333333,"bowl",4,"list1"
1,"['plastic', 'green']",5181,"bottle_plastic_green",0.811133333333333,"bottle",5,"list1"
1,"['paper', 'blue']",4949,"plate_paper_blue",0.811133333333333,"plate",6,"list1"
1,"['steal', 'blue']",7397,"table_metal_blue",0.811133333333333,"table",7,"list1"
1,"['leather', 'blue']",3286,"boot_leather_blue",0.811133333333333,"boot",8,"list1"
2,"Jessica",0,"Jessica",0.8413,"bot_check",1,"list1"
2,"['leather', 'blue']",7076,"boot_leather_blue",0.8413,"boot",3,"list1"
2,"['metal', 'blue']",10541,"bowl_metal_blue",0.8413,"bowl",4,"list1"
2,"['paper', 'blue']",4050,"plate_paper_blue",0.8413,"plate",5,"list1"
2,"['metal', 'green']",6244,"spoon_metal_green",0.8413,"spoon",6,"list1"
2,"['metal', 'blue']",6191,"table_metal_blue",0.8413,"table",7,"list1"
2,"['plastic', 'green']",5913,"bottle_plastic_green",0.8413,"bottle",8,"list1"
3,"Mary",0,"Mary",0.73905,"bot_check",1,"list1"
3,"['metal', 'green']",6872,"spoon_metal_green",0.73905,"spoon",3,"list1"
3,"['paper', 'blue']",4946,"plate_paper_blue",0.73905,"plate",4,"list1"
3,"['metal', 'blue']",4483,"bowl_metal_blue",0.73905,"bowl",5,"list1"
3,"['leather', 'blue']",4438,"boot_leather_blue",0.73905,"boot",6,"list1"
3,"['plastic', 'green']",4789,"bottle_plastic_green",0.73905,"bottle",7,"list1"
3,"['wood', 'blue']",4109,"table_metal_blue",0.73905,"table",8,"list1"
4,"Barbara",0,"Barbara",1.44226666666667,"bot_check",1,"list1"
4,"['plastic', 'green']",7815,"bottle_plastic_green",1.44226666666667,"bottle",3,"list1"
4,"['leather', 'blue']",11799,"boot_leather_blue",1.44226666666667,"boot",4,"list1"
4,"['plastic', 'green']",11523,"spoon_metal_green",1.44226666666667,"spoon",5,"list1"
4,"['wood', 'blue']",14531,"table_metal_blue",1.44226666666667,"table",6,"list1"
4,"['metal', 'blue']",9172,"bowl_metal_blue",1.44226666666667,"bowl",7,"list1"
4,"['paper', 'blue']",5697,"plate_paper_blue",1.44226666666667,"plate",8,"list1"
5,"Elizabeth",0,"Elizabeth",1.83791666666667,"bot_check",1,"list1"
5,"['paper', 'blue']",14717,"plate_paper_blue",1.83791666666667,"plate",3,"list1"
5,"['Metal', 'Green']",12117,"spoon_metal_green",1.83791666666667,"spoon",4,"list1"
5,"['Plastice', 'Blue']",9197,"table_metal_blue",1.83791666666667,"table",5,"list1"
5,"['Plastic', 'Green']",15463,"bottle_plastic_green",1.83791666666667,"bottle",6,"list1"
5,"['Leather', 'Blue']",12182,"boot_leather_blue",1.83791666666667,"boot",7,"list1"
5,"['Metal', 'Blue']",9320,"bowl_metal_blue",1.83791666666667,"bowl",8,"list1"
6,"Elizabeth",0,"Elizabeth",1.20568333333333,"bot_check",1,"list1"
6,"['Metal', 'Blue']",15823,"table_metal_blue",1.20568333333333,"table",3,"list1"
6,"['plastic', 'green']",7573,"bottle_plastic_green",1.20568333333333,"bottle",4,"list1"
6,"['leather', 'blue']",6016,"boot_leather_blue",1.20568333333333,"boot",5,"list1"
6,"['wood', 'green']",7367,"spoon_metal_green",1.20568333333333,"spoon",6,"list1"
6,"['paper ', 'blue']",6783,"plate_paper_blue",1.20568333333333,"plate",7,"list1"
6,"['plastic', 'blue']",6504,"bowl_metal_blue",1.20568333333333,"bowl",8,"list1"
7,"Jennifer",0,"Jennifer",0.980433333333333,"bot_check",1,"list1"
7,"['paper', 'blue']",5453,"plate_paper_blue",0.980433333333333,"plate",3,"list1"
7,"['metal', 'blue']",6654,"table_metal_blue",0.980433333333333,"table",4,"list1"
7,"['metal', 'green']",6599,"spoon_metal_green",0.980433333333333,"spoon",5,"list1"
7,"['plastic', 'green']",5223,"bottle_plastic_green",0.980433333333333,"bottle",6,"list1"
7,"['metal', 'blue']",4879,"bowl_metal_blue",0.980433333333333,"bowl",7,"list1"
7,"['leather', 'blue']",5477,"boot_leather_blue",0.980433333333333,"boot",8,"list1"
8,"Barbara",0,"Barbara",1.36601666666667,"bot_check",1,"list1"
8,"['plastic', 'green']",7192,"bottle_plastic_green",1.36601666666667,"bottle",3,"list1"
8,"['metal', 'blue']",15753,"table_metal_blue",1.36601666666667,"table",4,"list1"
8,"['plastic', 'blue']",8096,"bowl_metal_blue",1.36601666666667,"bowl",5,"list1"
8,"['paper', 'blue']",4227,"plate_paper_blue",1.36601666666667,"plate",6,"list1"
8,"['plastic', 'green']",13172,"spoon_metal_green",1.36601666666667,"spoon",7,"list1"
8,"['leather', 'blue']",6047,"boot_leather_blue",1.36601666666667,"boot",8,"list1"
9,"Elizabeth",0,"Elizabeth",1.65601666666667,"bot_check",1,"list1"
9,"['paper', 'blue']",10513,"plate_paper_blue",1.65601666666667,"plate",3,"list1"
9,"['metal', 'blue']",15623,"table_metal_blue",1.65601666666667,"table",4,"list1"
9,"['leather and rubber', 'glack']",12856,"boot_leather_blue",1.65601666666667,"boot",5,"list1"
9,"['plastic', 'green']",8785,"spoon_metal_green",1.65601666666667,"spoon",6,"list1"
9,"['plastic', 'green']",7175,"bottle_plastic_green",1.65601666666667,"bottle",7,"list1"
9,"['metal', 'blue']",5000,"bowl_metal_blue",1.65601666666667,"bowl",8,"list1"
10,"Jennifer",0,"Jennifer",1.39145,"bot_check",1,"list1"
10,"['Leather', 'Blue']",13623,"boot_leather_blue",1.39145,"boot",3,"list1"
10,"['Paper', 'Blue']",8839,"plate_paper_blue",1.39145,"plate",4,"list1"
10,"['Metal', 'Green']",10928,"spoon_metal_green",1.39145,"spoon",5,"list1"
10,"['Metal', 'Blue']",9168,"bowl_metal_blue",1.39145,"bowl",6,"list1"
10,"['Plastic', 'Green']",9392,"bottle_plastic_green",1.39145,"bottle",7,"list1"
10,"['Metal', 'Blue']",12048,"table_metal_blue",1.39145,"table",8,"list1"
11,"Elizabeth",0,"Elizabeth",3.1863,"bot_check",1,"list1"
11,"['silicon', 'blue']",18167,"bowl_metal_blue",3.1863,"bowl",3,"list1"
11,"['Rubber', 'Blue']",13951,"boot_leather_blue",3.1863,"boot",4,"list1"
11,"['Plastic', 'blue']",19539,"plate_paper_blue",3.1863,"plate",5,"list1"
11,"['steel', 'green']",27605,"spoon_metal_green",3.1863,"spoon",6,"list1"
11,"['plastic ', 'green']",20591,"bottle_plastic_green",3.1863,"bottle",7,"list1"
11,"['metal', 'blue']",11492,"table_metal_blue",3.1863,"table",8,"list1"
12,"Linda",0,"Linda",1.73973333333333,"bot_check",1,"list1"
12,"['metal', 'blue']",12375,"table_metal_blue",1.73973333333333,"table",3,"list1"
12,"['plastic', 'green']",8399,"bottle_plastic_green",1.73973333333333,"bottle",4,"list1"
12,"['steel', 'green']",9496,"spoon_metal_green",1.73973333333333,"spoon",5,"list1"
12,"['paper', 'blue']",17711,"plate_paper_blue",1.73973333333333,"plate",6,"list1"
12,"['steel', 'blue']",13511,"bowl_metal_blue",1.73973333333333,"bowl",7,"list1"
12,"['leather', 'blue gray']",16633,"boot_leather_blue",1.73973333333333,"boot",8,"list1"
13,"Barbara",0,"Barbara",1.04401666666667,"bot_check",1,"list1"
13,"['leather', 'blue']",12502,"boot_leather_blue",1.04401666666667,"boot",3,"list1"
13,"['metal', 'blue']",6982,"table_metal_blue",1.04401666666667,"table",4,"list1"
13,"['plastic', 'green']",6959,"bottle_plastic_green",1.04401666666667,"bottle",5,"list1"
13,"['paper', 'blue']",4982,"plate_paper_blue",1.04401666666667,"plate",6,"list1"
13,"['metal', 'green']",4204,"spoon_metal_green",1.04401666666667,"spoon",7,"list1"
13,"['metal', 'blue']",3766,"bowl_metal_blue",1.04401666666667,"bowl",8,"list1"
14,"Jennifer",0,"Jennifer",1.91563333333333,"bot_check",1,"list1"
14,"['plastic', 'green']",9280,"bottle_plastic_green",1.91563333333333,"bottle",3,"list1"
14,"['metal', 'silver']",9591,"spoon_metal_green",1.91563333333333,"spoon",4,"list1"
14,"['metal', 'blue']",8944,"bowl_metal_blue",1.91563333333333,"bowl",5,"list1"
14,"['steel', 'blue']",14240,"table_metal_blue",1.91563333333333,"table",6,"list1"
14,"['leather', 'black']",7433,"boot_leather_blue",1.91563333333333,"boot",7,"list1"
14,"['paper', 'blue']",6998,"plate_paper_blue",1.91563333333333,"plate",8,"list1"
15,"Sarah",0,"Sarah",1.69278333333333,"bot_check",1,"list2"
15,"['rubber', 'blue']",14635,"boot_rubber_blue",1.69278333333333,"boot",3,"list2"
15,"['glass', 'blue']",22780,"pitcher_metal_blue",1.69278333333333,"pitcher",4,"list2"
15,"['metal', 'blue']",16159,"spoon_metal_blue",1.69278333333333,"spoon",5,"list2"
15,"['plastic', 'blue']",15418,"spoon_plastic_blue",1.69278333333333,"spoon",6,"list2"
15,"['glass', 'green']",9718,"bowl_glass_green",1.69278333333333,"bowl",7,"list2"
16,"linda",0,"Linda",4.13096666666667,"bot_check",1,"list2"
16,"['metal', 'blue']",9238,"pitcher_metal_blue",4.13096666666667,"pitcher",3,"list2"
16,"['metal', 'blue']",8231,"spoon_metal_blue",4.13096666666667,"spoon",4,"list2"
16,"['synthetic rubber', 'blue']",10345,"boot_rubber_blue",4.13096666666667,"boot",5,"list2"
16,"['plastic', 'blue']",5816,"spoon_plastic_blue",4.13096666666667,"spoon",6,"list2"
16,"['glass', 'green']",7408,"bowl_glass_green",4.13096666666667,"bowl",7,"list2"
17,"Mary",0,"Mary",1.04005,"bot_check",1,"list2"
17,"['glass', 'green']",7430,"bowl_glass_green",1.04005,"bowl",3,"list2"
17,"['glass', 'blue']",6526,"pitcher_metal_blue",1.04005,"pitcher",4,"list2"
17,"['plastic', 'blue']",7892,"spoon_plastic_blue",1.04005,"spoon",5,"list2"
17,"['rubber', 'blue']",5684,"boot_rubber_blue",1.04005,"boot",6,"list2"
17,"['metal', 'grey']",9610,"spoon_metal_blue",1.04005,"spoon",7,"list2"
18,"Patricia",0,"Patricia",0.804833333333333,"bot_check",1,"list2"
18,"['glass', 'green']",9933,"bowl_glass_green",0.804833333333333,"bowl",3,"list2"
18,"['metal', 'blue']",7721,"spoon_metal_blue",0.804833333333333,"spoon",4,"list2"
18,"['plastic', 'blue']",4653,"spoon_plastic_blue",0.804833333333333,"spoon",5,"list2"
18,"['metal', 'blue']",3052,"pitcher_metal_blue",0.804833333333333,"pitcher",6,"list2"
18,"['rubber', 'blue']",4553,"boot_rubber_blue",0.804833333333333,"boot",7,"list2"
19,"Susan",0,"Susan",0.5858,"bot_check",1,"list2"
19,"['Plastic', 'Blue']",4491,"spoon_plastic_blue",0.5858,"spoon",3,"list2"
19,"['Ceramic', 'Blue']",6703,"pitcher_metal_blue",0.5858,"pitcher",4,"list2"
19,"['Glass', 'Green']",3536,"bowl_glass_green",0.5858,"bowl",5,"list2"
19,"['Rubber', 'Blue']",3072,"boot_rubber_blue",0.5858,"boot",6,"list2"
19,"['Metal', 'Blue']",2607,"spoon_metal_blue",0.5858,"spoon",7,"list2"
20,"Jennifer",0,"Jennifer",0.88515,"bot_check",1,"list2"
20,"['glass', 'green']",8255,"bowl_glass_green",0.88515,"bowl",3,"list2"
20,"['metal', 'blue']",8376,"pitcher_metal_blue",0.88515,"pitcher",4,"list2"
20,"['metal', 'blue']",5576,"spoon_metal_blue",0.88515,"spoon",5,"list2"
20,"['rubber', 'blue']",5230,"boot_rubber_blue",0.88515,"boot",6,"list2"
20,"['plastic', 'light blue']",6594,"spoon_plastic_blue",0.88515,"spoon",7,"list2"
21,"Susan",0,"Susan",1.29261666666667,"bot_check",1,"list2"
21,"['Plastic', 'green']",39074,"bowl_glass_green",1.29261666666667,"bowl",3,"list2"
21,"['plastic', 'blue']",6176,"pitcher_metal_blue",1.29261666666667,"pitcher",4,"list2"
21,"['plastc', 'blue']",7095,"spoon_plastic_blue",1.29261666666667,"spoon",5,"list2"
21,"['silver', 'blue']",6807,"spoon_metal_blue",1.29261666666667,"spoon",6,"list2"
21,"['leather', 'blue']",7221,"boot_rubber_blue",1.29261666666667,"boot",7,"list2"
22,"Mary",0,"Mary",1.32281666666667,"bot_check",1,"list2"
22,"['Rubber', 'Blue']",10657,"boot_rubber_blue",1.32281666666667,"boot",3,"list2"
22,"['Metal', 'Blue']",8821,"spoon_metal_blue",1.32281666666667,"spoon",4,"list2"
22,"['Metal', 'Blue']",11004,"pitcher_metal_blue",1.32281666666667,"pitcher",5,"list2"
22,"['glass', 'green']",9791,"bowl_glass_green",1.32281666666667,"bowl",6,"list2"
22,"['plastic', 'blue']",7687,"spoon_plastic_blue",1.32281666666667,"spoon",7,"list2"
23,"Barbara",0,"Barbara",1.06385,"bot_check",1,"list2"
23,"['glass', 'green']",11121,"bowl_glass_green",1.06385,"bowl",3,"list2"
23,"['aluminum', 'blue']",16284,"pitcher_metal_blue",1.06385,"pitcher",4,"list2"
23,"['plastic', 'blue']",7034,"spoon_plastic_blue",1.06385,"spoon",5,"list2"
23,"['rubber', 'blue']",5134,"boot_rubber_blue",1.06385,"boot",6,"list2"
23,"['steel', 'blue']",7369,"spoon_metal_blue",1.06385,"spoon",7,"list2"
24,"Patricia",0,"Patricia",0.946833333333333,"bot_check",1,"list2"
24,"['plastic', 'blue']",9309,"spoon_plastic_blue",0.946833333333333,"spoon",3,"list2"
24,"['glass', 'blue']",8527,"pitcher_metal_blue",0.946833333333333,"pitcher",4,"list2"
24,"['rubber', 'blue']",7177,"boot_rubber_blue",0.946833333333333,"boot",5,"list2"
24,"['metal', 'blue']",7905,"spoon_metal_blue",0.946833333333333,"spoon",6,"list2"
24,"['plastic', 'green']",9002,"bowl_glass_green",0.946833333333333,"bowl",7,"list2"
25,"Margaret",0,"Margaret",3.8159,"bot_check",1,"list2"
25,"['plastic', 'blue']",12645,"spoon_plastic_blue",3.8159,"spoon",3,"list2"
25,"['metal', 'blue']",7145,"spoon_metal_blue",3.8159,"spoon",4,"list2"
25,"['glass', 'green']",7775,"bowl_glass_green",3.8159,"bowl",5,"list2"
25,"['leather', 'blue']",11592,"boot_rubber_blue",3.8159,"boot",6,"list2"
25,"['glass ', 'green ']",9662,"pitcher_metal_blue",3.8159,"pitcher",7,"list2"
26,"jessica",0,"Jessica",7.6423,"bot_check",1,"list2"
26,"['metal', 'sky blue']",32550,"spoon_metal_blue",7.6423,"spoon",3,"list2"
26,"['plastic', 'sky blue']",16415,"spoon_plastic_blue",7.6423,"spoon",4,"list2"
26,"['plastic', 'skyblue']",27480,"boot_rubber_blue",7.6423,"boot",5,"list2"
26,"['metal', 'skyblue']",314805,"bowl_glass_green",7.6423,"bowl",6,"list2"
26,"['melamine', 'skyblue']",25959,"pitcher_metal_blue",7.6423,"pitcher",7,"list2"
27,"Patricia",0,"Patricia",0.88435,"bot_check",1,"list2"
27,"['suede', 'blue']",8940,"boot_rubber_blue",0.88435,"boot",3,"list2"
27,"['glass', 'green']",4483,"bowl_glass_green",0.88435,"bowl",4,"list2"
27,"['plastic', 'blue']",7013,"spoon_plastic_blue",0.88435,"spoon",5,"list2"
27,"['metal', 'blue']",8450,"pitcher_metal_blue",0.88435,"pitcher",6,"list2"
27,"['metal', 'blue']",4554,"spoon_metal_blue",0.88435,"spoon",7,"list2"
28,"Mary",0,"Mary",1.08271666666667,"bot_check",1,"list2"
28,"['glass', 'green']",6231,"bowl_glass_green",1.08271666666667,"bowl",3,"list2"
28,"['plastic', 'blue']",4614,"spoon_plastic_blue",1.08271666666667,"spoon",4,"list2"
28,"['metal', 'blue']",15470,"pitcher_metal_blue",1.08271666666667,"pitcher",5,"list2"
28,"['rubber', 'blue']",9550,"boot_rubber_blue",1.08271666666667,"boot",6,"list2"
28,"['steel', 'blue']",6215,"spoon_metal_blue",1.08271666666667,"spoon",7,"list2"
29,"Margaret",0,"Margaret",0.956083333333333,"bot_check",1,"list2"
29,"['Metal', 'Blue']",6429,"spoon_metal_blue",0.956083333333333,"spoon",3,"list2"
29,"['Plastic', 'Blue']",3942,"spoon_plastic_blue",0.956083333333333,"spoon",4,"list2"
29,"['Glass', 'Blue']",14500,"pitcher_metal_blue",0.956083333333333,"pitcher",5,"list2"
29,"['Plastic', 'Green']",3997,"bowl_glass_green",0.956083333333333,"bowl",6,"list2"
29,"['Leather', 'Blue']",5711,"boot_rubber_blue",0.956083333333333,"boot",7,"list2"
