"Answer.time_in_minutes","object","utterance","slide_number_in_experiment","workerid","rt","response","speaker_cond"
0.759766666666667,"Margaret","bot_check",1,0,0,"Margaret","list1"
0.759766666666667,"bag_canvas","bag",3,0,2203,"bag","list1"
0.759766666666667,"vase_glass","vase",4,0,1454,"vase","list1"
0.759766666666667,"chair_metal","chair",5,0,1510,"chair","list1"
0.759766666666667,"pitcher_porcelain","pitcher",6,0,2025,"pitcher","list1"
0.759766666666667,"plate_metal","plate",7,0,1645,"plate","list1"
0.759766666666667,"bowl_wood","bowl",8,0,1448,"bowl","list1"
0.759766666666667,"ruler_wood","ruler",9,0,1531,"ruler","list1"
0.759766666666667,"table_wood","table",10,0,1925,"table","list1"
0.759766666666667,"pot_ceramic","pot",11,0,1841,"pot","list1"
0.759766666666667,"cup_ceramic","cup",12,0,1624,"mug","list1"
0.759766666666667,"ball_metal","ball",13,0,1768,"ball","list1"
0.759766666666667,"box_cardboard","box",14,0,1818,"box","list1"
0.759766666666667,"door_steel","door",15,0,2720,"door","list1"
0.759766666666667,"bottle_glass","bottle",16,0,3843,"bottle","list1"
0.759766666666667,"jacket_denim","jacket",17,0,2154,"jacket","list1"
0.759766666666667,"boots_rubber","boots",18,0,1951,"boots","list1"
0.759766666666667,"spoon_plastic","spoon",19,0,1701,"spoon","list1"
1.5981,"Margaret","bot_check",1,1,0,"Margaret","list1"
1.5981,"vase_glass","vase",3,1,3549,"vase","list1"
1.5981,"door_steel","door",4,1,4647,"door","list1"
1.5981,"table_wood","table",5,1,2492,"table","list1"
1.5981,"bowl_wood","bowl",6,1,2676,"bowl","list1"
1.5981,"plate_metal","plate",7,1,4910,"plate","list1"
1.5981,"box_cardboard","box",8,1,4258,"box","list1"
1.5981,"bottle_glass","bottle",9,1,11966,"bottle","list1"
1.5981,"chair_metal","chair",10,1,2797,"chair","list1"
1.5981,"jacket_denim","jacket",11,1,3244,"jacket","list1"
1.5981,"spoon_plastic","spoon",12,1,2840,"spoon","list1"
1.5981,"ball_metal","ball",13,1,2698,"ball","list1"
1.5981,"pot_ceramic","pot",14,1,4647,"planter","list1"
1.5981,"cup_ceramic","cup",15,1,2807,"mug","list1"
1.5981,"boots_rubber","boots",16,1,3202,"boot","list1"
1.5981,"pitcher_porcelain","pitcher",17,1,5089,"pitcher","list1"
1.5981,"ruler_wood","ruler",18,1,2325,"ruler","list1"
1.5981,"bag_canvas","bag",19,1,3377,"tote","list1"
1.74475,"Jennifer","bot_check",1,2,0,"Jennifer","list1"
1.74475,"pitcher_porcelain","pitcher",3,2,7262,"Pitcher","list1"
1.74475,"vase_glass","vase",4,2,6847,"Vase","list1"
1.74475,"box_cardboard","box",5,2,4645,"Box","list1"
1.74475,"bag_canvas","bag",6,2,3318,"bag","list1"
1.74475,"plate_metal","plate",7,2,4646,"Plate","list1"
1.74475,"ball_metal","ball",8,2,4192,"Ball","list1"
1.74475,"jacket_denim","jacket",9,2,4613,"jacket","list1"
1.74475,"bowl_wood","bowl",10,2,3968,"bowl","list1"
1.74475,"boots_rubber","boots",11,2,3210,"Boot","list1"
1.74475,"spoon_plastic","spoon",12,2,3624,"spoon","list1"
1.74475,"door_steel","door",13,2,3782,"door","list1"
1.74475,"ruler_wood","ruler",14,2,4154,"Ruler","list1"
1.74475,"chair_metal","chair",15,2,4464,"chair","list1"
1.74475,"pot_ceramic","pot",16,2,3228,"Pot","list1"
1.74475,"cup_ceramic","cup",17,2,4895,"Cup","list1"
1.74475,"bottle_glass","bottle",18,2,5518,"Bottle","list1"
1.74475,"table_wood","table",19,2,3606,"table","list1"
3.42468333333333,"Jennifer","bot_check",1,3,0,"Jennifer","list1"
3.42468333333333,"bag_canvas","bag",3,3,8688,"Shopping bag","list1"
3.42468333333333,"bottle_glass","bottle",4,3,11397,"Glass bottle","list1"
3.42468333333333,"plate_metal","plate",5,3,9620,"Plate","list1"
3.42468333333333,"boots_rubber","boots",6,3,4706,"Boot","list1"
3.42468333333333,"ball_metal","ball",7,3,13681,"Bowling ball","list1"
3.42468333333333,"ruler_wood","ruler",8,3,6860,"Ruler","list1"
3.42468333333333,"jacket_denim","jacket",9,3,10064,"Jean jacket","list1"
3.42468333333333,"box_cardboard","box",10,3,4327,"Box","list1"
3.42468333333333,"table_wood","table",11,3,14606,"Table","list1"
3.42468333333333,"cup_ceramic","cup",12,3,4020,"Mug","list1"
3.42468333333333,"pitcher_porcelain","pitcher",13,3,9400,"Vase","list1"
3.42468333333333,"spoon_plastic","spoon",14,3,7534,"Spoon","list1"
3.42468333333333,"vase_glass","vase",15,3,4297,"Vase","list1"
3.42468333333333,"bowl_wood","bowl",16,3,8453,"Bowl","list1"
3.42468333333333,"chair_metal","chair",17,3,4987,"Chair","list1"
3.42468333333333,"door_steel","door",18,3,8344,"Door","list1"
3.42468333333333,"pot_ceramic","pot",19,3,4596,"Pot","list1"
2.658,"Jessica","bot_check",1,4,0,"Jessica","list1"
2.658,"bowl_wood","bowl",3,4,3560,"bowl","list1"
2.658,"ruler_wood","ruler",4,4,5632,"ruler","list1"
2.658,"cup_ceramic","cup",5,4,4288,"mug","list1"
2.658,"pot_ceramic","pot",6,4,5839,"flower pot","list1"
2.658,"table_wood","table",7,4,2977,"table","list1"
2.658,"plate_metal","plate",8,4,16047,"plate","list1"
2.658,"ball_metal","ball",9,4,17256,"silver ball","list1"
2.658,"chair_metal","chair",10,4,13192,"chair","list1"
2.658,"boots_rubber","boots",11,4,3608,"rain boot","list1"
2.658,"bag_canvas","bag",12,4,5376,"tote bag","list1"
2.658,"box_cardboard","box",13,4,4416,"cardboard box","list1"
2.658,"jacket_denim","jacket",14,4,5392,"denim shirt","list1"
2.658,"vase_glass","vase",15,4,6761,"glass vase","list1"
2.658,"spoon_plastic","spoon",16,4,26878,"plastic spoon","list1"
2.658,"bottle_glass","bottle",17,4,5400,"glass bottle","list1"
2.658,"pitcher_porcelain","pitcher",18,4,5095,"pitcher","list1"
2.658,"door_steel","door",19,4,3295,"door","list1"
1.21308333333333,"Linda","bot_check",1,5,0,"Linda","list1"
1.21308333333333,"vase_glass","vase",3,5,3301,"vase","list1"
1.21308333333333,"cup_ceramic","cup",4,5,3920,"mug","list1"
1.21308333333333,"door_steel","door",5,5,7880,"door","list1"
1.21308333333333,"plate_metal","plate",6,5,4455,"plate","list1"
1.21308333333333,"ruler_wood","ruler",7,5,1920,"ruler","list1"
1.21308333333333,"box_cardboard","box",8,5,1752,"box","list1"
1.21308333333333,"pitcher_porcelain","pitcher",9,5,1984,"jug","list1"
1.21308333333333,"jacket_denim","jacket",10,5,4224,"jacket","list1"
1.21308333333333,"ball_metal","ball",11,5,2208,"ball","list1"
1.21308333333333,"bowl_wood","bowl",12,5,2512,"bowl","list1"
1.21308333333333,"bag_canvas","bag",13,5,3440,"shopping bag","list1"
1.21308333333333,"chair_metal","chair",14,5,1663,"chair","list1"
1.21308333333333,"table_wood","table",15,5,1840,"table","list1"
1.21308333333333,"boots_rubber","boots",16,5,1576,"boot","list1"
1.21308333333333,"spoon_plastic","spoon",17,5,3136,"spoon","list1"
1.21308333333333,"pot_ceramic","pot",18,5,2545,"planter","list1"
1.21308333333333,"bottle_glass","bottle",19,5,8815,"bottle","list1"
1.21135,"Sarah","bot_check",1,6,0,"Sarah","list1"
1.21135,"jacket_denim","jacket",3,6,6432,"jean jacket","list1"
1.21135,"door_steel","door",4,6,4145,"door","list1"
1.21135,"spoon_plastic","spoon",5,6,3637,"spoon","list1"
1.21135,"ball_metal","ball",6,6,3332,"ball","list1"
1.21135,"chair_metal","chair",7,6,2105,"
chair","list1"
1.21135,"ruler_wood","ruler",8,6,2515,"
ruler","list1"
1.21135,"bottle_glass","bottle",9,6,3053,"
bottle","list1"
1.21135,"pot_ceramic","pot",10,6,2559,"
pot","list1"
1.21135,"bag_canvas","bag",11,6,1871,"
bag","list1"
1.21135,"plate_metal","plate",12,6,2225,"
plate","list1"
1.21135,"pitcher_porcelain","pitcher",13,6,4086,"
pitcher","list1"
1.21135,"box_cardboard","box",14,6,3202,"
box","list1"
1.21135,"table_wood","table",15,6,1902,"
table","list1"
1.21135,"bowl_wood","bowl",16,6,1944,"
bowl","list1"
1.21135,"vase_glass","vase",17,6,2147,"
vase","list1"
1.21135,"cup_ceramic","cup",18,6,1817,"
mug","list1"
1.21135,"boots_rubber","boots",19,6,2048,"
boot","list1"
1.18288333333333,"Elizabeth","bot_check",1,7,0,"Elizabeth","list1"
1.18288333333333,"cup_ceramic","cup",3,7,2392,"mug","list1"
1.18288333333333,"jacket_denim","jacket",4,7,3254,"jacket","list1"
1.18288333333333,"bag_canvas","bag",5,7,2056,"
bag","list1"
1.18288333333333,"vase_glass","vase",6,7,1360,"
vase","list1"
1.18288333333333,"spoon_plastic","spoon",7,7,2912,"
spoon","list1"
1.18288333333333,"table_wood","table",8,7,1328,"
table","list1"
1.18288333333333,"bottle_glass","bottle",9,7,4880,"
bottle","list1"
1.18288333333333,"bowl_wood","bowl",10,7,1736,"
bowl","list1"
1.18288333333333,"door_steel","door",11,7,9368,"
door","list1"
1.18288333333333,"pitcher_porcelain","pitcher",12,7,2376,"
pitcher","list1"
1.18288333333333,"boots_rubber","boots",13,7,1529,"
boot","list1"
1.18288333333333,"chair_metal","chair",14,7,3688,"
chair","list1"
1.18288333333333,"plate_metal","plate",15,7,2615,"
plate","list1"
1.18288333333333,"ball_metal","ball",16,7,1561,"
ball","list1"
1.18288333333333,"pot_ceramic","pot",17,7,2167,"
pot","list1"
1.18288333333333,"box_cardboard","box",18,7,3904,"
box","list1"
1.18288333333333,"ruler_wood","ruler",19,7,2120,"
ruler","list1"
9.20625,"Jessica","bot_check",1,8,0,"jessica","list1"
9.20625,"bowl_wood","bowl",3,8,31184,"salad bowl","list1"
9.20625,"table_wood","table",4,8,39676,"coffee & centre table","list1"
9.20625,"ball_metal","ball",5,8,90888,"sphere","list1"
9.20625,"jacket_denim","jacket",6,8,52775,"kadin kot ceket","list1"
9.20625,"vase_glass","vase",7,8,29224,"vase","list1"
9.20625,"pot_ceramic","pot",8,8,18255,"saucer","list1"
9.20625,"ruler_wood","ruler",9,8,14496,"plywood","list1"
9.20625,"spoon_plastic","spoon",10,8,11007,"spoon","list1"
9.20625,"pitcher_porcelain","pitcher",11,8,14425,"jug","list1"
9.20625,"box_cardboard","box",12,8,14984,"wood","list1"
9.20625,"door_steel","door",13,8,24599,"home door","list1"
9.20625,"boots_rubber","boots",14,8,14815,"work boots","list1"
9.20625,"bottle_glass","bottle",15,8,17721,"vase","list1"
9.20625,"plate_metal","plate",16,8,23175,"medieval metal dinner plates","list1"
9.20625,"cup_ceramic","cup",17,8,14255," coffee cup","list1"
9.20625,"chair_metal","chair",18,8,42962,"chair","list1"
9.20625,"bag_canvas","bag",19,8,12370,"tote bag","list1"
1.33961666666667,"Linda","bot_check",1,9,0,"Linda","list1"
1.33961666666667,"door_steel","door",3,9,3034,"door","list1"
1.33961666666667,"bottle_glass","bottle",4,9,2864,"bottle","list1"
1.33961666666667,"bowl_wood","bowl",5,9,2329,"bowl","list1"
1.33961666666667,"bag_canvas","bag",6,9,2974,"bag","list1"
1.33961666666667,"pot_ceramic","pot",7,9,3666,"pot","list1"
1.33961666666667,"cup_ceramic","cup",8,9,3311,"mug","list1"
1.33961666666667,"boots_rubber","boots",9,9,2079,"
boot","list1"
1.33961666666667,"chair_metal","chair",10,9,2854,"chair","list1"
1.33961666666667,"box_cardboard","box",11,9,2752,"box","list1"
1.33961666666667,"vase_glass","vase",12,9,2544,"vase","list1"
1.33961666666667,"jacket_denim","jacket",13,9,2911,"jacket","list1"
1.33961666666667,"ruler_wood","ruler",14,9,2439,"
ruler","list1"
1.33961666666667,"plate_metal","plate",15,9,5545,"plate
","list1"
1.33961666666667,"ball_metal","ball",16,9,2514,"
BALL","list1"
1.33961666666667,"spoon_plastic","spoon",17,9,4590,"
spoon","list1"
1.33961666666667,"table_wood","table",18,9,2224,"
table","list1"
1.33961666666667,"pitcher_porcelain","pitcher",19,9,4942,"
pitcher","list1"
2.74745,"Mary","bot_check",1,10,0,"Mary","list1"
2.74745,"ruler_wood","ruler",3,10,6479,"ruler","list1"
2.74745,"spoon_plastic","spoon",4,10,5480,"spoon","list1"
2.74745,"bottle_glass","bottle",5,10,6736,"bottle","list1"
2.74745,"door_steel","door",6,10,5448,"door","list1"
2.74745,"ball_metal","ball",7,10,6048,"ball","list1"
2.74745,"pot_ceramic","pot",8,10,6920,"pot","list1"
2.74745,"chair_metal","chair",9,10,4088,"chair","list1"
2.74745,"pitcher_porcelain","pitcher",10,10,4984,"pitcher","list1"
2.74745,"bowl_wood","bowl",11,10,4072,"bowl","list1"
2.74745,"boots_rubber","boots",12,10,10864,"boot","list1"
2.74745,"vase_glass","vase",13,10,3568,"vase","list1"
2.74745,"box_cardboard","box",14,10,4512,"box","list1"
2.74745,"bag_canvas","bag",15,10,4216,"bag","list1"
2.74745,"cup_ceramic","cup",16,10,7200,"cup","list1"
2.74745,"table_wood","table",17,10,8024,"table","list1"
2.74745,"jacket_denim","jacket",18,10,5968,"jacket","list1"
2.74745,"plate_metal","plate",19,10,3992,"plate","list1"
1.48068333333333,"Jessica","bot_check",1,11,0,"Jessica","list1"
1.48068333333333,"ball_metal","ball",3,11,5268,"ball","list1"
1.48068333333333,"cup_ceramic","cup",4,11,7746,"mug","list1"
1.48068333333333,"box_cardboard","box",5,11,3793,"box","list1"
1.48068333333333,"pot_ceramic","pot",6,11,6075,"pot","list1"
1.48068333333333,"ruler_wood","ruler",7,11,2816,"ruler","list1"
1.48068333333333,"door_steel","door",8,11,2337,"door","list1"
1.48068333333333,"table_wood","table",9,11,2962,"table","list1"
1.48068333333333,"boots_rubber","boots",10,11,2733,"boot","list1"
1.48068333333333,"bottle_glass","bottle",11,11,3587,"bottle","list1"
1.48068333333333,"spoon_plastic","spoon",12,11,2593,"spoon","list1"
1.48068333333333,"bowl_wood","bowl",13,11,2448,"bowl","list1"
1.48068333333333,"jacket_denim","jacket",14,11,3017,"jacket","list1"
1.48068333333333,"chair_metal","chair",15,11,2601,"chair","list1"
1.48068333333333,"plate_metal","plate",16,11,2626,"plate","list1"
1.48068333333333,"bag_canvas","bag",17,11,2813,"bag","list1"
1.48068333333333,"vase_glass","vase",18,11,3276,"vase","list1"
1.48068333333333,"pitcher_porcelain","pitcher",19,11,4090,"pitcher","list1"
1.32993333333333,"Barbara","bot_check",1,12,0,"Barbara","list1"
1.32993333333333,"boots_rubber","boots",3,12,4522,"Boot","list1"
1.32993333333333,"plate_metal","plate",4,12,5588,"Plate","list1"
1.32993333333333,"pitcher_porcelain","pitcher",5,12,4950,"Pitcher","list1"
1.32993333333333,"vase_glass","vase",6,12,2716,"Vase","list1"
1.32993333333333,"bag_canvas","bag",7,12,2193,"Bag","list1"
1.32993333333333,"bowl_wood","bowl",8,12,3316,"Bowl","list1"
1.32993333333333,"box_cardboard","box",9,12,3810,"Box","list1"
1.32993333333333,"ball_metal","ball",10,12,2881,"Ball","list1"
1.32993333333333,"spoon_plastic","spoon",11,12,3211,"Spoon","list1"
1.32993333333333,"ruler_wood","ruler",12,12,2782,"Ruler","list1"
1.32993333333333,"cup_ceramic","cup",13,12,3215,"Cup","list1"
1.32993333333333,"table_wood","table",14,12,2581,"Desk","list1"
1.32993333333333,"chair_metal","chair",15,12,3868,"Chair","list1"
1.32993333333333,"bottle_glass","bottle",16,12,6441,"Bottle","list1"
1.32993333333333,"pot_ceramic","pot",17,12,4843,"Pot","list1"
1.32993333333333,"door_steel","door",18,12,3396,"Door","list1"
1.32993333333333,"jacket_denim","jacket",19,12,3927,"Jacket","list1"
3.07991666666667,"Susan","bot_check",1,13,0,"susan","list1"
3.07991666666667,"pot_ceramic","pot",3,13,9607,"flower pot","list1"
3.07991666666667,"box_cardboard","box",4,13,4402,"box","list1"
3.07991666666667,"boots_rubber","boots",5,13,5721,"boot","list1"
3.07991666666667,"door_steel","door",6,13,5405,"door","list1"
3.07991666666667,"ruler_wood","ruler",7,13,5271,"ruler","list1"
3.07991666666667,"bowl_wood","bowl",8,13,4663,"bowl","list1"
3.07991666666667,"plate_metal","plate",9,13,6940,"plate","list1"
3.07991666666667,"bottle_glass","bottle",10,13,6122,"bottle","list1"
3.07991666666667,"bag_canvas","bag",11,13,5542,"bag","list1"
3.07991666666667,"vase_glass","vase",12,13,4878,"vase","list1"
3.07991666666667,"pitcher_porcelain","pitcher",13,13,6703,"pitcher","list1"
3.07991666666667,"spoon_plastic","spoon",14,13,5564,"spoon","list1"
3.07991666666667,"cup_ceramic","cup",15,13,5334,"mug","list1"
3.07991666666667,"table_wood","table",16,13,5791,"table","list1"
3.07991666666667,"chair_metal","chair",17,13,6423,"chair","list1"
3.07991666666667,"ball_metal","ball",18,13,6594,"ball","list1"
3.07991666666667,"jacket_denim","jacket",19,13,8426,"jacket","list1"
3.92241666666667,"Margaret","bot_check",1,14,0,"Margaret","list1"
3.92241666666667,"ball_metal","ball",3,14,6290,"ball","list1"
3.92241666666667,"jacket_denim","jacket",4,14,9668,"denim top","list1"
3.92241666666667,"plate_metal","plate",5,14,3841,"plate","list1"
3.92241666666667,"spoon_plastic","spoon",6,14,4334,"spoon","list1"
3.92241666666667,"box_cardboard","box",7,14,5941,"cardboard box","list1"
3.92241666666667,"door_steel","door",8,14,3753,"door","list1"
3.92241666666667,"pitcher_porcelain","pitcher",9,14,5152,"pitcher","list1"
3.92241666666667,"bowl_wood","bowl",10,14,5462,"wooden bowl","list1"
3.92241666666667,"bottle_glass","bottle",11,14,6619,"bottle","list1"
3.92241666666667,"vase_glass","vase",12,14,4895,"vase","list1"
3.92241666666667,"ruler_wood","ruler",13,14,4050,"ruler","list1"
3.92241666666667,"chair_metal","chair",14,14,5841,"chair","list1"
3.92241666666667,"boots_rubber","boots",15,14,3644,"boot","list1"
3.92241666666667,"bag_canvas","bag",16,14,7008,"bag","list1"
3.92241666666667,"table_wood","table",17,14,5698,"table","list1"
3.92241666666667,"pot_ceramic","pot",18,14,26563,"flowerpot","list1"
3.92241666666667,"cup_ceramic","cup",19,14,4000,"mug","list1"
1.09511666666667,"Barbara","bot_check",1,15,0,"Barbara","list2"
1.09511666666667,"bowl_glass","bowl",3,15,2472,"bowl","list2"
1.09511666666667,"table_glass","table",4,15,2295,"stand","list2"
1.09511666666667,"box_metal","box",5,15,4351,"toolbox","list2"
1.09511666666667,"cup_paper","cup",6,15,2929,"cup","list2"
1.09511666666667,"ruler_plastic","ruler",7,15,3855,"ruler","list2"
1.09511666666667,"plate_paper","plate",8,15,4524,"paper plate","list2"
1.09511666666667,"pot_metal","pot",9,15,2004,"bucket","list2"
1.09511666666667,"bottle_metal","bottle",10,15,3232,"water bottle","list2"
1.09511666666667,"bag_leather","bag",11,15,2337,"purse","list2"
1.09511666666667,"chair_plastic","chair",12,15,2048,"chair","list2"
1.09511666666667,"ball_plastic","ball",13,15,1888,"ball","list2"
1.09511666666667,"jacket_leather","jacket",14,15,4503,"jacket","list2"
1.09511666666667,"vase_wood","vase",15,15,2137,"vase","list2"
1.09511666666667,"boots_canvas","boots",16,15,1752,"shoe","list2"
1.09511666666667,"pitcher_glass","pitcher",17,15,2176,"pitcher","list2"
1.09511666666667,"door_glass","door",18,15,1823,"door","list2"
1.09511666666667,"spoon_metal","spoon",19,15,1809,"spoon","list2"
2.64935,"Elizabeth","bot_check",1,16,0,"Elizabeth","list2"
2.64935,"door_glass","door",3,16,8142,"door","list2"
2.64935,"box_metal","box",4,16,8077,"metal chest","list2"
2.64935,"boots_canvas","boots",5,16,3663,"boot","list2"
2.64935,"jacket_leather","jacket",6,16,9305,"leather jacket","list2"
2.64935,"ruler_plastic","ruler",7,16,3182,"ruler","list2"
2.64935,"pot_metal","pot",8,16,3495,"metal bucket","list2"
2.64935,"bowl_glass","bowl",9,16,3650,"glass bowl","list2"
2.64935,"table_glass","table",10,16,4311,"table","list2"
2.64935,"pitcher_glass","pitcher",11,16,5503,"glass pitcher","list2"
2.64935,"chair_plastic","chair",12,16,6546,"plastic chair","list2"
2.64935,"plate_paper","plate",13,16,3445,"paper plate","list2"
2.64935,"bag_leather","bag",14,16,3815,"hand bag","list2"
2.64935,"spoon_metal","spoon",15,16,4775,"spoon","list2"
2.64935,"cup_paper","cup",16,16,9648,"paper cup","list2"
2.64935,"vase_wood","vase",17,16,5206,"wooden vase","list2"
2.64935,"ball_plastic","ball",18,16,4584,"blue ball","list2"
2.64935,"bottle_metal","bottle",19,16,12056,"metal water container","list2"
2.9507,"Susan","bot_check",1,17,0,"Susan","list2"
2.9507,"ruler_plastic","ruler",3,17,3514,"ruler","list2"
2.9507,"vase_wood","vase",4,17,3171,"jug","list2"
2.9507,"pot_metal","pot",5,17,5382,"bucket","list2"
2.9507,"plate_paper","plate",6,17,5974,"paper plate","list2"
2.9507,"bag_leather","bag",7,17,3347,"purse","list2"
2.9507,"jacket_leather","jacket",8,17,4993,"leather jacket","list2"
2.9507,"spoon_metal","spoon",9,17,4748,"teaspoon","list2"
2.9507,"bowl_glass","bowl",10,17,3980,"bowl","list2"
2.9507,"cup_paper","cup",11,17,4740,"canister","list2"
2.9507,"table_glass","table",12,17,5932,"end table","list2"
2.9507,"boots_canvas","boots",13,17,15049,"shoe","list2"
2.9507,"pitcher_glass","pitcher",14,17,3062,"jug","list2"
2.9507,"door_glass","door",15,17,6333,"door","list2"
2.9507,"chair_plastic","chair",16,17,3300,"chair","list2"
2.9507,"ball_plastic","ball",17,17,3355,"ball","list2"
2.9507,"box_metal","box",18,17,4763,"chest","list2"
2.9507,"bottle_metal","bottle",19,17,11027,"bottle","list2"
3.09145,"Elizabeth","bot_check",1,18,0,"Elizabeth","list2"
3.09145,"cup_paper","cup",3,18,2695,"cup","list2"
3.09145,"vase_wood","vase",4,18,107575,"vase","list2"
3.09145,"jacket_leather","jacket",5,18,3328,"jacket","list2"
3.09145,"box_metal","box",6,18,5136,"chest","list2"
3.09145,"bag_leather","bag",7,18,4783,"purse","list2"
3.09145,"ball_plastic","ball",8,18,6064,"bowling ball","list2"
3.09145,"chair_plastic","chair",9,18,2466,"chair","list2"
3.09145,"spoon_metal","spoon",10,18,1959,"spoon","list2"
3.09145,"pitcher_glass","pitcher",11,18,6352,"pitcher
","list2"
3.09145,"table_glass","table",12,18,5432,"
end table","list2"
3.09145,"bottle_metal","bottle",13,18,4543,"canteen","list2"
3.09145,"bowl_glass","bowl",14,18,2472,"bowl","list2"
3.09145,"door_glass","door",15,18,3024,"
door","list2"
3.09145,"ruler_plastic","ruler",16,18,1353,"
ruler","list2"
3.09145,"pot_metal","pot",17,18,2008,"
bucket","list2"
3.09145,"boots_canvas","boots",18,18,1136,"
shoe","list2"
3.09145,"plate_paper","plate",19,18,1447,"
plate","list2"
2.33583333333333,"Sarah","bot_check",1,19,0,"sarah","list2"
2.33583333333333,"bowl_glass","bowl",3,19,4967,"bowel","list2"
2.33583333333333,"pitcher_glass","pitcher",4,19,3056,"vase","list2"
2.33583333333333,"box_metal","box",5,19,5640,"locker","list2"
2.33583333333333,"boots_canvas","boots",6,19,4287,"boot","list2"
2.33583333333333,"ruler_plastic","ruler",7,19,3527,"ruler","list2"
2.33583333333333,"jacket_leather","jacket",8,19,6432,"jacket","list2"
